source,target,weight,distance,electrode
e0_t144,e0_t145,0.2,1,FP1
e0_t145,e0_t151,0.0667,6,FP1
e0_t147,e0_t150,0.0667,3,FP1
e0_t149,e0_t150,0.1333,1,FP1
e0_t150,e0_t151,0.0667,1,FP1
e0_t151,e0_t152,0.2,1,FP1
e0_t152,e0_t153,0.2,1,FP1
e0_t154,e0_t164,0.0667,10,FP1
e0_t159,e0_t160,0.2,1,FP1
e0_t159,e0_t163,0.0667,4,FP1
e0_t161,e0_t162,0.3333,1,FP1
e0_t162,e0_t163,0.2,1,FP1
e0_t163,e0_t164,0.2,1,FP1
e0_t164,e0_t165,0.3333,1,FP1
e0_t165,e0_t166,0.1333,1,FP1
e0_t169,e0_t173,0.0667,4,FP1
e0_t169,e0_t187,0.0667,18,FP1
e0_t170,e0_t172,0.0667,2,FP1
e0_t170,e0_t173,0.0667,3,FP1
e0_t172,e0_t173,0.1333,1,FP1
e0_t176,e0_t179,0.0667,3,FP1
e0_t179,e0_t180,0.0667,1,FP1
e0_t182,e0_t185,0.0667,3,FP1
e0_t189,e0_t190,0.1333,1,FP1
e0_t190,e0_t191,0.2667,1,FP1
e0_t190,e0_t193,0.0667,3,FP1
e0_t193,e0_t194,0.1333,1,FP1
e0_t194,e0_t195,0.3333,1,FP1
e0_t195,e0_t196,0.2667,1,FP1
e0_t195,e0_t200,0.0667,5,FP1
e0_t196,e0_t197,0.3333,1,FP1
e0_t196,e0_t199,0.0667,3,FP1
e0_t198,e0_t199,0.3333,1,FP1
e0_t199,e0_t200,0.2667,1,FP1
e0_t200,e0_t206,0.1333,6,FP1
e0_t201,e0_t205,0.1333,4,FP1
e0_t201,e0_t206,0.1333,5,FP1
e0_t202,e0_t204,0.1333,2,FP1
e0_t206,e0_t207,0.2,1,FP1
e0_t208,e0_t209,0.2,1,FP1
e0_t208,e0_t213,0.1333,5,FP1
e0_t208,e0_t214,0.1333,6,FP1
e0_t209,e0_t210,0.2667,1,FP1
e0_t209,e0_t212,0.2,3,FP1
e0_t209,e0_t213,0.0667,4,FP1
e0_t210,e0_t212,0.1333,2,FP1
e0_t214,e0_t246,0.0667,32,FP1
e0_t215,e0_t245,0.0667,30,FP1
e0_t216,e0_t217,0.1333,1,FP1
e0_t217,e0_t218,0.3333,1,FP1
e0_t217,e0_t245,0.0667,28,FP1
e0_t218,e0_t219,0.2667,1,FP1
e0_t218,e0_t223,0.0667,5,FP1
e0_t221,e0_t222,0.1333,1,FP1
e0_t224,e0_t244,0.0667,20,FP1
e0_t224,e0_t245,0.0667,21,FP1
e0_t225,e0_t226,0.2,1,FP1
e0_t225,e0_t229,0.0667,4,FP1
e0_t226,e0_t227,0.2667,1,FP1
e0_t231,e0_t232,0.2,1,FP1
e0_t231,e0_t238,0.0667,7,FP1
e0_t231,e0_t244,0.0667,13,FP1
e0_t232,e0_t236,0.0667,4,FP1
e0_t232,e0_t238,0.1333,6,FP1
e0_t235,e0_t236,0.3333,1,FP1
e0_t240,e0_t244,0.0667,4,FP1
e0_t241,e0_t244,0.0667,3,FP1
e0_t243,e0_t244,0.1333,1,FP1
e0_t244,e0_t245,0.2667,1,FP1
e0_t245,e0_t246,0.2667,1,FP1
e0_t248,e0_t252,0.1333,4,FP1
e0_t249,e0_t250,0.1333,1,FP1
e0_t249,e0_t252,0.1333,3,FP1
e0_t2,e0_t3,0.1333,1,FP1
e0_t2,e0_t7,0.0667,5,FP1
e0_t3,e0_t4,0.0667,1,FP1
e0_t3,e0_t6,0.0667,3,FP1
e0_t3,e0_t7,0.0667,4,FP1
e0_t4,e0_t6,0.0667,2,FP1
e0_t5,e0_t6,0.0667,1,FP1
e0_t6,e0_t7,0.0667,1,FP1
e0_t7,e0_t8,0.0667,1,FP1
e0_t9,e0_t10,0.2,1,FP1
e0_t9,e0_t15,0.0667,6,FP1
e0_t9,e0_t16,0.0667,7,FP1
e0_t10,e0_t11,0.1333,1,FP1
